"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
293,"MCK","McKesson Corporation","Services","Drugs Wholesale","USA",30299.96,22.93,133.48,-0.18%,2841072
294,"MCO","Moody's Corp.","Services","Business Services","USA",15552.11,20.95,69.96,0.56%,1010242
295,"MDLZ","Mondelez International, Inc.","Consumer Goods","Confectioners","USA",54730.68,28.61,30.61,-0.26%,6386783
296,"MDT","Medtronic, Inc.","Healthcare","Medical Appliances & Equipment","USA",53574.68,15.25,53.06,1.14%,4236610
297,"MET","MetLife, Inc.","Financial","Life Insurance","USA",50920.09,107.86,46.38,-0.15%,6048466
298,"MHFI","McGraw Hill Financial, Inc.","Services","Business Services","USA",18103.80,25.10,66.00,0.69%,1262343
299,"MJN","Mead Johnson Nutrition Company","Consumer Goods","Processed & Packaged Goods","USA",15130.17,24.98,74.68,-0.55%,1043924
300,"MKC","McCormick & Co. Inc.","Consumer Goods","Processed & Packaged Goods","USA",8542.91,21.27,64.67,-0.55%,608414
301,"MMC","Marsh & McLennan Companies, Inc.","Financial","Insurance Brokers","USA",23345.87,18.18,42.37,-0.61%,2291461
302,"MMM","3M Co.","Conglomerates","Conglomerates","USA",80911.67,18.43,117.57,0.35%,2497089
303,"MNST","Monster Beverage Corporation","Consumer Goods","Beverages - Soft Drinks","USA",8864.97,28.63,53.26,-0.62%,2814140
304,"MO","Altria Group Inc.","Consumer Goods","Cigarettes","USA",68968.90,15.73,34.45,-0.66%,7190877
305,"MOLX","Molex Inc.","Technology","Diversified Electronics","USA",6845.52,28.30,38.49,0.16%,988274
306,"MON","Monsanto Co.","Basic Materials","Agricultural Chemicals","USA",55306.06,22.51,103.55,0.33%,3452786
307,"MOS","The Mosaic Company","Basic Materials","Agricultural Chemicals","USA",19527.84,10.37,45.84,0.92%,6890914
308,"MPC","Marathon Petroleum Corporation","Basic Materials","Oil & Gas Refining & Marketing","USA",19996.20,6.31,62.10,-0.64%,3710996
309,"MRK","Merck & Co. Inc.","Healthcare","Drug Manufacturers - Major","USA",142282.70,28.14,47.27,-1.01%,15348714
310,"MRO","Marathon Oil Corporation","Basic Materials","Independent Oil & Gas","USA",24289.10,15.41,34.21,0.15%,3705135
311,"MS","Morgan Stanley","Financial","Investment Brokerage - National","USA",51070.12,38.24,26.77,0.83%,14190661
312,"MSFT","Microsoft Corporation","Technology","Business Software & Services","USA",275969.15,12.77,33.07,0.18%,35819252
313,"MSI","Motorola Solutions, Inc.","Technology","Communication Equipment","USA",16005.60,16.92,59.39,-0.39%,1362389
314,"MTB","M&T Bank Corporation","Financial","Regional - Northeast Banks","USA",14188.52,12.49,110.63,0.66%,925461
315,"MU","Micron Technology Inc.","Technology","Semiconductor- Memory Chips","USA",18585.60,,18.15,1.23%,67631304
316,"MUR","Murphy Oil Corporation","Basic Materials","Major Integrated Oil & Gas","USA",11383.59,12.44,60.23,-1.52%,2005704
317,"MWV","MeadWestvaco Corporation","Consumer Goods","Packaging & Containers","USA",6517.80,40.35,36.72,-0.46%,708048
318,"MYL","Mylan, Inc.","Healthcare","Drugs - Generic","USA",14836.07,23.88,38.92,0.13%,3992852
319,"NBL","Noble Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",23263.20,22.74,64.80,-0.69%,1135623
320,"NBR","Nabors Industries Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Bermuda",4942.91,15.82,16.77,-0.12%,3708152
321,"NDAQ","Nasdaq OMX Group Inc.","Financial","Diversified Investments","USA",5327.23,17.89,32.02,0.72%,1240368
322,"NE","Noble Corp.","Basic Materials","Oil & Gas Drilling & Exploration","Switzerland",9470.70,16.84,37.39,0.16%,3626412
323,"NEE","NextEra Energy, Inc.","Utilities","Electric Utilities","USA",33744.00,22.04,80.00,0.39%,1407114
324,"NEM","Newmont Mining Corp.","Basic Materials","Gold","USA",13170.50,,26.50,0.57%,9543546
325,"NFLX","Netflix, Inc.","Services","Music & Video Stores","USA",16784.32,360.54,288.43,-4.59%,5991572
326,"NFX","Newfield Exploration Co.","Basic Materials","Independent Oil & Gas","USA",3801.60,,28.16,-0.46%,1733839
327,"NI","NiSource Inc.","Utilities","Diversified Utilities","USA",9415.26,21.39,30.16,-0.17%,1887415
328,"NKE","Nike Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",63049.57,24.36,70.89,0.87%,4638054
329,"NOC","Northrop Grumman Corporation","Industrial Goods","Aerospace/Defense - Major Diversified","USA",22019.40,11.69,94.10,0.01%,1289992
330,"NOV","National Oilwell Varco, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",33130.02,14.40,77.77,-0.52%,2561478
331,"NRG","NRG Energy, Inc.","Utilities","Diversified Utilities","USA",8840.51,19.27,27.37,-0.36%,4330931
332,"NSC","Norfolk Southern Corp.","Services","Railroads","USA",24148.01,14.18,76.88,0.80%,1664776
333,"NTAP","NetApp, Inc.","Technology","Data Storage Devices","USA",14530.77,28.96,41.41,-0.58%,5269865
334,"NTRS","Northern Trust Corporation","Financial","Asset Management","USA",12703.77,18.46,52.99,1.11%,1380659
335,"NU","Northeast Utilities","Utilities","Diversified Utilities","USA",12984.35,16.68,41.20,0.44%,1090680
336,"NUE","Nucor Corporation","Basic Materials","Steel & Iron","USA",15173.41,36.60,47.58,-0.92%,1678517
